X;Y
1.0;0.25
2.0;0.41666666666666663
3.0;0.5694444444444444
4.0;0.0
5.0;0.8121315192743763
6.0;0.8541666666666666
7.0;0.75
8.0;1.0
9.0;0.7
10.0;0.47555555555555545
11.0;0.9704861111111112
12.0;0.0
13.0;0.8
14.0;0.6104166666666666
15.0;0.9761904761904762
16.0;0.7861111111111111
17.0;0.6666666666666666
18.0;0.8357142857142857
19.0;0.3333333333333333
20.0;0.8782627865961198
21.0;0.7986111111111112
22.0;0.7639455782312926
23.0;0.2777777777777778
24.0;0.14285714285714285
25.0;0.3333333333333333
26.0;0.6678571428571429
27.0;1.0
28.0;0.7884920634920635
29.0;0.5
30.0;0.625
31.0;0.8708333333333332
32.0;0.7555555555555555
33.0;1.0
34.0;0.6756802721088436
35.0;0.5873015873015873
36.0;1.0
37.0;0.9067956349206348
38.0;0.3333333333333333
39.0;0.43333333333333335
40.0;0.19444444444444442
41.0;0.48214285714285715
42.0;0.9444444444444445
43.0;0.9325396825396826
44.0;0.9626543209876544
45.0;0.3738095238095238
46.0;0.8095238095238094
47.0;0.2
48.0;0.2
49.0;0.8486394557823128
50.0;0.9166666666666666
51.0;0.9761904761904762
52.0;1.0
53.0;0.7321428571428571
54.0;0.8634920634920635
55.0;0.0
56.0;1.0
57.0;0.7869614512471655
58.0;1.0
59.0;0.38819444444444445
60.0;0.3611111111111111
61.0;0.8687074829931973
62.0;0.8214285714285714
63.0;0.3619047619047619
64.0;0.6783333333333333
65.0;0.6906084656084656
66.0;0.5333333333333333
67.0;0.4583333333333333
68.0;0.2361111111111111
69.0;0.625
70.0;1.0
71.0;0.6666666666666666
72.0;0.6595238095238095
73.0;0.475
74.0;0.6805555555555555
75.0;0.7440476190476191
76.0;0.7095238095238094
77.0;0.6111111111111112
78.0;0.125
79.0;0.31726190476190474
80.0;0.6644444444444444
81.0;0.8392857142857142
82.0;0.1111111111111111
83.0;0.8666666666666667
84.0;0.6433333333333333
85.0;0.1
86.0;0.425
87.0;0.2
88.0;0.5
89.0;0.85
90.0;1.0
91.0;0.8142857142857143
92.0;0.6533333333333333
94.0;0.6984126984126983
95.0;0.8055555555555555
96.0;1.0
97.0;0.625
98.0;0.425
99.0;1.0
100.0;0.8333333333333334
