X;Y
1.0;0.3
2.0;0.2
3.0;0.4
4.0;0.1
5.0;0.6
6.0;0.4
7.0;0.4
8.0;0.1
9.0;0.3
10.0;0.4
11.0;0.9
12.0;0.0
13.0;0.4
14.0;0.4
15.0;0.7
16.0;0.6
17.0;0.3
18.0;0.7
19.0;0.1
20.0;0.8
21.0;0.4
22.0;0.5
23.0;0.1
24.0;0.1
25.0;0.5
26.0;0.4
27.0;0.2
28.0;0.5
29.0;0.3
30.0;0.3
31.0;0.6
32.0;0.3
33.0;0.9
34.0;0.7
35.0;0.4
36.0;0.1
37.0;0.9
38.0;0.6
39.0;0.4
40.0;0.3
41.0;0.4
42.0;0.6
43.0;0.6
44.0;0.9
45.0;0.3
46.0;0.3
47.0;0.2
48.0;0.2
49.0;0.8
50.0;0.5
51.0;0.7
52.0;0.1
53.0;0.4
54.0;0.7
55.0;0.2
56.0;0.3
57.0;0.7
58.0;0.9
59.0;0.3
60.0;0.1
61.0;0.8
62.0;0.6
63.0;0.4
64.0;0.4
65.0;0.4
66.0;0.4
67.0;0.3
68.0;0.4
69.0;0.2
70.0;0.2
71.0;0.3
72.0;0.6
73.0;0.4
74.0;0.3
75.0;0.6
76.0;0.4
77.0;0.2
78.0;0.2
79.0;0.4
80.0;0.6
81.0;0.5
82.0;0.3
83.0;0.3
84.0;0.5
85.0;0.2
86.0;0.3
87.0;0.3
88.0;0.2
89.0;0.5
90.0;1.0
91.0;0.7
92.0;0.6
94.0;0.6
95.0;0.3
96.0;0.1
97.0;0.4
98.0;0.3
99.0;0.3
100.0;0.3
