X;Y
1.0;0.2
2.0;0.4
3.0;0.2
4.0;0.0
5.0;0.8
6.0;0.6
7.0;0.4
8.0;0.2
9.0;0.4
10.0;0.6
11.0;1.0
12.0;0.0
13.0;0.6
14.0;0.4
15.0;1.0
16.0;0.8
17.0;0.4
18.0;0.8
19.0;0.2
20.0;0.8
21.0;0.6
22.0;0.6
23.0;0.2
24.0;0.0
25.0;0.2
26.0;0.6
27.0;0.4
28.0;0.6
29.0;0.2
30.0;0.2
31.0;0.8
32.0;0.6
33.0;1.0
34.0;0.4
35.0;0.2
36.0;0.2
37.0;0.8
38.0;0.2
39.0;0.4
40.0;0.0
41.0;0.4
42.0;1.0
43.0;1.0
44.0;1.0
45.0;0.2
46.0;0.4
47.0;0.2
48.0;0.2
49.0;0.8
50.0;0.6
51.0;1.0
52.0;0.2
53.0;0.4
54.0;0.8
55.0;0.0
56.0;0.2
57.0;0.6
58.0;1.0
59.0;0.4
60.0;0.2
61.0;0.8
62.0;0.8
63.0;0.2
64.0;0.6
65.0;0.6
66.0;0.6
67.0;0.4
68.0;0.2
69.0;0.2
70.0;0.4
71.0;0.4
72.0;0.6
73.0;0.4
74.0;0.4
75.0;0.6
76.0;0.6
77.0;0.2
78.0;0.0
79.0;0.2
80.0;0.6
81.0;0.6
82.0;0.0
83.0;0.6
84.0;0.8
85.0;0.0
86.0;0.4
87.0;0.2
88.0;0.2
89.0;0.6
90.0;1.0
91.0;0.6
92.0;0.6
94.0;0.4
95.0;0.6
96.0;0.2
97.0;0.2
98.0;0.4
99.0;0.6
100.0;0.4
