X;Y
1.0;0.2
2.0;0.25
3.0;1.0
4.0;0.2
5.0;1.0
6.0;1.0
7.0;1.0
8.0;0.5
9.0;1.0
10.0;0.3333333333333333
11.0;1.0
12.0;0.0
13.0;1.0
14.0;1.0
15.0;1.0
16.0;1.0
17.0;1.0
18.0;1.0
19.0;0.25
20.0;1.0
21.0;1.0
22.0;0.5
23.0;0.1
24.0;0.125
25.0;0.5
26.0;0.16666666666666666
27.0;1.0
28.0;1.0
29.0;0.5
30.0;1.0
31.0;1.0
32.0;1.0
33.0;1.0
34.0;1.0
35.0;0.3333333333333333
36.0;0.5
37.0;1.0
38.0;1.0
39.0;0.5
40.0;0.16666666666666666
41.0;0.5
42.0;1.0
43.0;1.0
44.0;1.0
45.0;1.0
46.0;0.5
47.0;0.3333333333333333
48.0;0.5
49.0;1.0
50.0;1.0
51.0;1.0
52.0;1.0
53.0;1.0
54.0;1.0
55.0;0.1111111111111111
56.0;0.5
57.0;1.0
58.0;1.0
59.0;1.0
60.0;0.16666666666666666
61.0;1.0
62.0;1.0
63.0;1.0
64.0;1.0
65.0;1.0
66.0;0.25
67.0;0.5
68.0;0.3333333333333333
69.0;1.0
70.0;1.0
71.0;1.0
72.0;0.5
73.0;1.0
74.0;1.0
75.0;1.0
76.0;1.0
77.0;1.0
78.0;0.25
79.0;1.0
80.0;1.0
81.0;1.0
82.0;1.0
83.0;1.0
84.0;0.5
85.0;0.1111111111111111
86.0;0.5
87.0;0.16666666666666666
88.0;0.25
89.0;1.0
90.0;1.0
91.0;1.0
92.0;1.0
94.0;1.0
95.0;1.0
96.0;1.0
97.0;1.0
98.0;1.0
99.0;1.0
100.0;1.0
